training_step,0,1,2,3,4
1877084,293,239,109,336,320
1881229,293,239,109,336,320
1885971,283,239,109,336,320
1890474,283,239,109,336,320
1894949,283,239,109,336,320
1899393,283,239,109,336,320
1903636,283,239,109,336,320
1908016,283,239,109,336,320
1912273,283,239,109,336,320
1916647,283,239,109,336,320
1921048,283,239,109,336,320
1925351,283,239,109,336,320
1929656,283,239,109,336,320
1934043,283,239,109,336,320
1938302,273,239,109,336,320
1942786,273,239,109,336,320
1947142,273,239,109,336,320
1951575,273,239,109,336,320
1956059,273,239,109,326,310
1960463,273,239,109,326,310
1964811,273,239,109,326,310
1969245,273,239,109,326,310
1973548,273,239,109,326,310
1977941,263,239,109,326,310
1982430,263,239,109,326,310
1986969,263,239,109,326,310
1991471,263,239,109,326,310
1996067,263,239,109,326,310
2000593,263,239,109,326,310
2004947,263,239,109,326,310
2009524,263,239,109,326,310
2013978,263,239,109,326,310
2018541,263,239,109,326,310
2022967,263,239,109,326,310
2027527,263,239,109,326,310
2032104,263,239,109,326,310
2036519,263,239,109,326,310
2041064,263,239,109,326,310
2045500,263,239,109,326,310
2049967,263,239,109,326,310
2054518,263,239,109,326,310
2058988,263,239,109,326,310
2063458,263,239,109,326,310
2067946,263,239,109,326,310
2072438,263,239,109,326,310
2076971,263,239,109,326,310
2081395,263,239,109,326,310
2085853,263,239,109,326,310
2090336,263,239,109,326,310
2094857,263,239,109,326,310
2099221,263,239,109,326,310
2103791,263,239,109,326,310
2108158,263,239,109,326,310
2112591,263,239,109,326,310
2116905,263,239,109,326,310
2121250,263,239,109,326,310
2125715,253,239,109,326,310
2130120,253,239,109,326,310
2134502,253,239,109,326,310
2138830,253,239,109,326,310
2143275,253,239,109,326,310
2147563,253,239,109,326,310
2151979,253,239,109,326,310
2156433,253,239,109,326,310
2160633,253,239,109,326,310
2165078,253,239,109,326,310
2169421,253,239,109,326,310
2173856,253,239,109,326,310
2178179,253,239,109,326,310
2182601,253,239,109,326,310
2186863,243,239,109,326,310
2191345,243,239,109,326,310
2195833,243,239,109,326,310
2200241,243,239,109,326,310
2204723,233,239,109,326,310
2209127,233,239,109,326,310
2213621,233,239,109,326,310
2217989,233,239,109,326,310
2222450,223,239,109,326,310
2227048,223,239,109,326,310
2231691,223,239,109,326,310
2236330,223,239,109,326,310
2240918,223,239,109,326,310
2245403,223,239,109,326,310
2249909,213,239,109,326,310
2254410,213,239,109,326,310
2258961,213,239,109,326,310
2263413,213,239,109,326,310
2267838,203,239,109,326,310
2272288,203,239,109,326,310
2276698,203,239,109,326,310
2281140,203,239,109,326,310
2285557,203,239,109,326,310
2289992,193,239,109,326,310
2294512,193,239,109,326,310
2299005,193,239,109,326,310
2303553,193,239,109,326,310
2308016,193,239,109,326,310
2312410,193,239,109,326,310
2316973,193,239,109,326,310
2321421,193,239,109,326,310
2325823,193,239,109,326,310
2330301,193,239,109,326,310
2334667,193,239,109,326,310
2339137,183,239,109,326,310
2343794,183,239,109,326,310
2348479,183,239,109,326,310
2352970,183,239,109,326,310
2357542,183,239,109,326,310
2362043,173,239,109,326,310
2366747,173,239,109,326,310
2371279,173,239,109,326,310
2375876,173,239,109,326,310
2380429,173,239,109,326,310
2385048,173,239,109,326,310
2389608,173,239,109,326,310
2394281,173,239,109,326,310
2398897,173,239,109,326,310
2403493,173,239,109,326,310
2408073,173,239,109,326,310
2412678,173,239,109,326,310
2417269,173,239,109,326,310
2421869,173,239,109,326,300
2426320,173,239,109,326,300
2430727,173,239,109,326,300
2435207,173,239,109,326,300
2439603,173,239,109,326,300
2444002,173,239,109,326,300
2448525,173,239,109,326,300
2452937,173,239,109,326,300
2457454,173,239,109,326,300
2462035,173,239,109,326,300
2466476,173,239,109,326,300
2470914,173,239,109,326,300
2475423,173,239,109,326,290
2479884,173,239,109,326,290
2484491,173,239,109,326,290
2489011,173,239,109,326,290
2493700,173,239,109,326,290
2498344,173,239,109,326,290
2503223,173,239,109,326,280
2507824,173,239,109,326,280
2512396,173,239,109,326,280
2516952,173,239,109,326,280
2521668,173,239,99,326,280
2526472,173,239,99,326,270
2530980,173,239,99,326,270
2535598,173,239,99,326,270
2540183,173,239,99,326,270
2544740,173,239,89,326,270
2549249,173,239,89,326,270
2553851,163,239,89,326,270
2558542,163,239,89,326,270
2563629,163,239,89,326,260
2568639,163,239,79,326,260
2573438,163,239,79,326,260
2578227,163,239,79,326,260
2583127,163,239,79,326,250
2587970,163,239,69,326,250
2592821,163,239,69,326,250
2597664,163,239,69,326,250
2602366,163,239,69,326,250
2607265,163,239,69,326,250
2612190,163,239,59,326,240
2617039,163,239,59,326,240
2622105,163,239,59,326,240
